Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,,Nvidia,GeForce GT 230M,518,1.86,2887,https://gpu.userbenchmark.com/SpeedTest/8017/NVIDIA-GeForce-GT-230M
GPU,,AMD,Radeon HD 7480D,519,1.86,8155,https://gpu.userbenchmark.com/SpeedTest/7856/AMD-Radeon-HD-7480D
GPU,,Nvidia,GeForce 610M,520,1.86,4709,https://gpu.userbenchmark.com/SpeedTest/8250/NVIDIA-GeForce-610M
GPU,,Nvidia,GeForce GT 520,521,1.86,14402,https://gpu.userbenchmark.com/SpeedTest/7768/NVIDIA-GeForce-GT-520
GPU,,Nvidia,Quadro 400,522,1.84,1010,https://gpu.userbenchmark.com/SpeedTest/9363/NVIDIA-Quadro-400
GPU,,ATI,Radeon HD 2600-XT,523,1.78,1905,https://gpu.userbenchmark.com/SpeedTest/7897/ATI-Radeon-HD-2600-XT
GPU,,Nvidia,GeForce 9500 GS,524,1.77,1398,https://gpu.userbenchmark.com/SpeedTest/11103/NVIDIA-GeForce-9500-GS
GPU,,Nvidia,GeForce GT 610,525,1.77,59248,https://gpu.userbenchmark.com/SpeedTest/7736/NVIDIA-GeForce-GT-610
GPU,,Intel,HD 3000 (Mobile V2 1.3 GHz),526,1.76,114375,https://gpu.userbenchmark.com/SpeedTest/7647/IntelR-HD-Graphics-3000
GPU,,Nvidia,GeForce 9650M-GT,527,1.75,329,https://gpu.userbenchmark.com/SpeedTest/9295/NVIDIA-GeForce-9650M-GT
GPU,,Nvidia,GeForce GT 520M,528,1.74,5728,https://gpu.userbenchmark.com/SpeedTest/8308/NVIDIA-GeForce-GT-520M
GPU,,Nvidia,NVS 4200M,529,1.74,6469,https://gpu.userbenchmark.com/SpeedTest/7966/NVIDIA-NVS-4200M
GPU,,Nvidia,Quadro FX 770M,530,1.74,844,https://gpu.userbenchmark.com/SpeedTest/7999/NVIDIA-Quadro-FX-770M
GPU,,Nvidia,GeForce GT 420,531,1.74,9661,https://gpu.userbenchmark.com/SpeedTest/10183/NVIDIA-GeForce-GT-420
GPU,,ATI,Radeon HD 2600,532,1.73,6,https://gpu.userbenchmark.com/SpeedTest/11511/ATI-Radeon-HD-26003600
GPU,,Nvidia,GeForce 320M,533,1.71,552,https://gpu.userbenchmark.com/SpeedTest/9153/NVIDIA-GeForce-320M
GPU,,AMD,Radeon HD 7450,534,1.69,10092,https://gpu.userbenchmark.com/SpeedTest/8053/AMD-RadeonTM-HD-7450
GPU,,Nvidia,GeForce GT 220M,535,1.67,960,https://gpu.userbenchmark.com/SpeedTest/11828/NVIDIA-GeForce-GT-220M
GPU,,AMD,Radeon HD 6480G,536,1.67,4985,https://gpu.userbenchmark.com/SpeedTest/8221/AMD-RadeonTM-HD-6480G
GPU,,AMD,Radeon HD 6450,537,1.66,30909,https://gpu.userbenchmark.com/SpeedTest/7821/AMD-Radeon-HD-6450
GPU,,Intel,HD 4200 (Mobile 0.85 GHz),538,1.66,3317,https://gpu.userbenchmark.com/SpeedTest/8662/IntelR-HD-Graphics-Family
GPU,,Nvidia,Quadro FX 1600M,539,1.65,423,https://gpu.userbenchmark.com/SpeedTest/8782/NVIDIA-Quadro-FX-1600M
GPU,,Intel,HD 3000 (Desktop V1 1.1 GHz),540,1.61,7859,https://gpu.userbenchmark.com/SpeedTest/7649/IntelR-HD-Graphics-3000
GPU,,Nvidia,GeForce 9500 GT,541,1.59,27299,https://gpu.userbenchmark.com/SpeedTest/7816/NVIDIA-GeForce-9500-GT
GPU,,AMD,Radeon R3 Graphics,542,1.58,6172,https://gpu.userbenchmark.com/SpeedTest/12440/AMD-RadeonTM-R3-Graphics
GPU,,AMD,Radeon HD 6410D,543,1.57,3112,https://gpu.userbenchmark.com/SpeedTest/8199/AMD-Radeon-HD-6410D
GPU,,ATI,Mobility Radeon HD 3670,544,1.56,405,https://gpu.userbenchmark.com/SpeedTest/10736/ATI-Mobility-Radeon-HD-3670
GPU,,AMD,Radeon HD 7400G,545,1.55,375,https://gpu.userbenchmark.com/SpeedTest/10815/AMD-Radeon-HD-7400G
GPU,,Intel,UHD Graphics 600,546,1.54,33075,https://gpu.userbenchmark.com/SpeedTest/407837/IntelR-UHD-Graphics-600
GPU,,AMD,Radeon HD 8400-R3,547,1.53,12368,https://gpu.userbenchmark.com/SpeedTest/11160/AMD-Radeon-HD-8400--R3
GPU,,Nvidia,GeForce 7900 GTX,548,1.53,191,https://gpu.userbenchmark.com/SpeedTest/10625/NVIDIA-GeForce-7900-GTX
GPU,,Intel,HD 3000 (Mobile V1 1.1/1.2 GHz),549,1.52,207383,https://gpu.userbenchmark.com/SpeedTest/7646/IntelR-HD-Graphics-3000
GPU,,Nvidia,Quadro NVS 320M,550,1.51,171,https://gpu.userbenchmark.com/SpeedTest/8310/NVIDIA-Quadro-NVS-320M
GPU,,ATI,Mobility Radeon HD 2600-XT,551,1.49,295,https://gpu.userbenchmark.com/SpeedTest/9915/ATI-Mobility-Radeon-HD-2600-XT
GPU,,Intel,HD Graphics (G4 Pentium/Celeron 1.05/1.15 GHz),552,1.46,36451,https://gpu.userbenchmark.com/SpeedTest/7701/IntelR-HD-Graphics
GPU,,Nvidia,Quadro FX 580,553,1.45,5941,https://gpu.userbenchmark.com/SpeedTest/7761/NVIDIA-Quadro-FX-580
GPU,,Nvidia,GeForce 9600M-GS,554,1.45,1042,https://gpu.userbenchmark.com/SpeedTest/9821/NVIDIA-GeForce-9600M-GS
GPU,,ATI,HD 3650,555,1.44,4018,https://gpu.userbenchmark.com/SpeedTest/7982/ATI-Radeon-HD-3600
GPU,,Nvidia,GeForce 9600M-GT,556,1.42,4021,https://gpu.userbenchmark.com/SpeedTest/7707/NVIDIA-GeForce-9600M-GT
GPU,,Nvidia,GeForce 8600 GT,557,1.4,7840,https://gpu.userbenchmark.com/SpeedTest/7659/NVIDIA-GeForce-8600-GT
GPU,,Nvidia,GeForce 410M,558,1.4,4591,https://gpu.userbenchmark.com/SpeedTest/9169/NVIDIA-GeForce-410M
GPU,,ATI,Mobility FireGL V5700,559,1.36,178,https://gpu.userbenchmark.com/SpeedTest/10460/ATI-Mobility-FireGL-V5700
GPU,,AMD,Radeon HD 8330,560,1.35,8962,https://gpu.userbenchmark.com/SpeedTest/8155/AMD-Radeon-HD-8330
GPU,,Nvidia,Quadro FX 570M,561,1.33,445,https://gpu.userbenchmark.com/SpeedTest/9414/NVIDIA-Quadro-FX-570M
GPU,,Nvidia,GeForce GT 415M,562,1.27,85,https://gpu.userbenchmark.com/SpeedTest/16834/NVIDIA-GeForce-GT-415M
GPU,,Nvidia,NVS 310,563,1.26,4759,https://gpu.userbenchmark.com/SpeedTest/10691/NVIDIA-NVS-310
GPU,,ATI,Radeon HD 2600-PRO,564,1.26,1815,https://gpu.userbenchmark.com/SpeedTest/8524/ATI-Radeon-HD-2600-PRO
GPU,,Intel,HD 2500 (Desktop 1.05 GHz),565,1.23,143038,https://gpu.userbenchmark.com/SpeedTest/7696/IntelR-HD-Graphics
GPU,,ATI,Mobility Radeon HD 545v,566,1.23,656,https://gpu.userbenchmark.com/SpeedTest/8734/ATI-Mobility-Radeon-HD-545v
GPU,,ATI,Mobility Radeon HD 3650,567,1.17,3287,https://gpu.userbenchmark.com/SpeedTest/7902/ATI-Mobility-Radeon-HD-3650
GPU,,Nvidia,GeForce 8600M GT,568,1.17,2101,https://gpu.userbenchmark.com/SpeedTest/8081/NVIDIA-GeForce-8600M-GT
GPU,,Nvidia,Quadro FX 1700,569,1.15,2644,https://gpu.userbenchmark.com/SpeedTest/9158/NVIDIA-Quadro-FX-1700
GPU,,Intel,HD Graphics (G3 Pentium/Celeron 1.0/1.1 GHz),570,1.14,29283,https://gpu.userbenchmark.com/SpeedTest/7695/IntelR-HD-Graphics
GPU,,ATI,Mobility Radeon HD 4570,571,1.14,393,https://gpu.userbenchmark.com/SpeedTest/7827/ATI-Mobility-Radeon-HD-4570
