Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8070110900K,Intel,Core i9-10900K,36,99.6,107269,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071
CPU,BX8070110900KF,Intel,Core i9-10900KF,37,99.5,21040,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR-CoreTM-i9-10900KF-CPU---370GHz
CPU,BX8070811600KF,Intel,Core i5-11600KF,38,99.4,7012,https://cpu.userbenchmark.com/SpeedTest/1512279/11th-Gen-IntelR-CoreTM-i5-11600KF---390GHz
CPU,BX8070811600K,Intel,Core i5-11600K,39,99.2,30311,https://cpu.userbenchmark.com/Intel-Core-i5-11600K/Rating/4113
CPU,100-100000061WOF,AMD,Ryzen 9 5900X,40,99.1,81541,https://cpu.userbenchmark.com/AMD-Ryzen-9-5900X/Rating/4087
CPU,BX8071512500,Intel,Core i5-12500,41,98.9,1981,https://cpu.userbenchmark.com/Intel-Core-i5-12500/Rating/4123
CPU,BX8070110850K,Intel,Core i9-10850K,42,98.9,84873,https://cpu.userbenchmark.com/SpeedTest/1255865/IntelR-CoreTM-i9-10850K-CPU---360GHz
CPU,BX80684I99900KS,Intel,Core i9-9900KS,43,98.8,12840,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,,Intel,Core i7-12800H,44,98.8,443,https://cpu.userbenchmark.com/SpeedTest/1760724/12th-Gen-IntelR-CoreTM-i7-12800H
CPU,BX8070811700,Intel,Core i7-11700,45,98.2,10278,https://cpu.userbenchmark.com/SpeedTest/1450761/11th-Gen-IntelR-CoreTM-i7-11700---250GHz
CPU,BX8071512400,Intel,Core i5-12400,46,98,7862,https://cpu.userbenchmark.com/Intel-Core-i5-12400/Rating/4122
CPU,BX8071512400F,Intel,Core i5-12400F,47,98,20307,https://cpu.userbenchmark.com/Intel-Core-i5-12400F/Rating/4121
CPU,BX80684I99900K,Intel,Core i9-9900K,48,97.9,354223,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028
CPU,100-100000063WOF,AMD,Ryzen 7 5800X,49,97.9,148645,https://cpu.userbenchmark.com/AMD-Ryzen-7-5800X/Rating/4085
CPU,BX80684I99900KF,Intel,Core i9-9900KF,50,97.8,50265,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR-CoreTM-i9-9900KF-CPU---360GHz
CPU,BX8070811900F,Intel,Core i9-11900F,51,97.7,3720,https://cpu.userbenchmark.com/SpeedTest/1492552/11th-Gen-IntelR-CoreTM-i9-11900F---250GHz
CPU,,Intel,Core i7-12700H,52,97.2,15267,https://cpu.userbenchmark.com/SpeedTest/1750314/12th-Gen-IntelR-CoreTM-i7-12700H
CPU,BX80684I79700KF,Intel,Core i7-9700KF,53,97.1,32736,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz
CPU,BX8070811600,Intel,Core i5-11600,54,97.1,2653,https://cpu.userbenchmark.com/SpeedTest/1543284/11th-Gen-IntelR-CoreTM-i5-11600---280GHz
CPU,BX80684I79700K,Intel,Core i7-9700K,55,96.9,550833,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030
CPU,,AMD,Ryzen 9 5900,56,96.8,350,https://cpu.userbenchmark.com/SpeedTest/1528736/AMD-Ryzen-9-5900-12-Core-Processor
CPU,BX8070110700K,Intel,Core i7-10700K,57,96.5,198859,https://cpu.userbenchmark.com/Intel-Core-i7-10700K/Rating/4070
CPU,BX8070110700KF,Intel,Core i7-10700KF,58,96.3,37394,https://cpu.userbenchmark.com/SpeedTest/1171560/IntelR-CoreTM-i7-10700KF-CPU---380GHz
CPU,,AMD,Ryzen 7 5800,59,96,1579,https://cpu.userbenchmark.com/SpeedTest/1496609/AMD-Ryzen-7-5800-8-Core-Processor
CPU,100-100000065BOX,AMD,Ryzen 5 5600X,60,96,294232,https://cpu.userbenchmark.com/AMD-Ryzen-5-5600X/Rating/4084
CPU,BX8070811500,Intel,Core i5-11500,61,95.9,2674,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz
CPU,,Intel,Core i7-12650H,62,95.9,2270,https://cpu.userbenchmark.com/SpeedTest/1807229/12th-Gen-IntelR-CoreTM-i7-12650H
CPU,100-100000926WOF,AMD,Ryzen 7 5700X,63,95.9,5673,https://cpu.userbenchmark.com/SpeedTest/1823386/AMD-Ryzen-7-5700X-8-Core-Processor
CPU,BX8071512300,Intel,Core i3-12300,64,95.5,25,https://cpu.userbenchmark.com/SpeedTest/1796462/12th-Gen-IntelR-CoreTM-i3-12300
CPU,BX8070110900F,Intel,Core i9-10900F,65,95.4,8499,https://cpu.userbenchmark.com/SpeedTest/1196789/IntelR-CoreTM-i9-10900F-CPU---280GHz
CPU,,Intel,Core i5-12600H,66,95.3,21,https://cpu.userbenchmark.com/SpeedTest/1847567/12th-Gen-IntelR-CoreTM-i5-12600H
CPU,BX8071512100F,Intel,Core i3-12100F,67,94.4,3827,https://cpu.userbenchmark.com/Intel-Core-i3-12100F/Rating/4125
CPU,,Intel,Core i5-12500H,68,94.2,1373,https://cpu.userbenchmark.com/SpeedTest/1793224/12th-Gen-IntelR-CoreTM-i5-12500H
CPU,BX8070811400F,Intel,Core i5-11400F,69,94.1,29020,https://cpu.userbenchmark.com/Intel-Core-i5-11400F/Rating/4111
CPU,BX8071512100,Intel,Core i3-12100,70,94.1,684,https://cpu.userbenchmark.com/Intel-Core-i3-12100/Rating/4126
CPU,,Intel,Core i9-10900,71,94,11130,https://cpu.userbenchmark.com/SpeedTest/1169242/IntelR-CoreTM-i9-10900-CPU---280GHz
CPU,BX8070811400,Intel,Core i5-11400,72,93.9,18357,https://cpu.userbenchmark.com/Intel-Core-i5-11400/Rating/4112
CPU,BX80684I59600K,Intel,Core i5-9600K,73,93.2,321194,https://cpu.userbenchmark.com/Intel-Core-i5-9600K/Rating/4031
CPU,BX8070110700F,Intel,Core i7-10700F,74,93.2,44448,https://cpu.userbenchmark.com/SpeedTest/1183814/IntelR-CoreTM-i7-10700F-CPU---290GHz
CPU,BX80684I59600KF,Intel,Core i5-9600KF,75,93.2,65122,https://cpu.userbenchmark.com/SpeedTest/772658/IntelR-CoreTM-i5-9600KF-CPU---370GHz
CPU,,Intel,Core i9-11980HK,76,93,924,https://cpu.userbenchmark.com/SpeedTest/1569162/11th-Gen-IntelR-CoreTM-i9-11980HK---260GHz
CPU,100-100000927BOX,AMD,Ryzen 5 5600,77,93,6672,https://cpu.userbenchmark.com/SpeedTest/1822932/AMD-Ryzen-5-5600-6-Core-Processor
CPU,BX8070811700F,Intel,Core i7-11700F,78,92.8,24456,https://cpu.userbenchmark.com/SpeedTest/1522100/11th-Gen-IntelR-CoreTM-i7-11700F---250GHz
CPU,BX8070110700,Intel,Core i7-10700,79,92.6,71010,https://cpu.userbenchmark.com/Intel-Core-i7-10700/Rating/4077
CPU,BX80684I59600,Intel,Core i5-9600,80,92.3,931,https://cpu.userbenchmark.com/SpeedTest/853186/IntelR-CoreTM-i5-9600-CPU---310GHz
CPU,,Intel,Core i9-11950H,81,92.3,680,https://cpu.userbenchmark.com/SpeedTest/1554081/11th-Gen-IntelR-CoreTM-i9-11950H---260GHz
CPU,BX8070110600K,Intel,Core i5-10600K,82,92.2,70951,https://cpu.userbenchmark.com/Intel-Core-i5-10600K/Rating/4072
CPU,BX80684I79700,Intel,Core i7-9700,83,92,79875,https://cpu.userbenchmark.com/SpeedTest/816180/IntelR-CoreTM-i7-9700-CPU---300GHz
CPU,BX80684I79700F,Intel,Core i7-9700F,84,92,54980,https://cpu.userbenchmark.com/SpeedTest/816132/IntelR-CoreTM-i7-9700F-CPU---300GHz
CPU,BX8070110600KF,Intel,Core i5-10600KF,85,91.9,24257,https://cpu.userbenchmark.com/SpeedTest/1225152/IntelR-CoreTM-i5-10600KF-CPU---410GHz
CPU,BX80684I99900,Intel,Core i9-9900,86,91.4,11853,https://cpu.userbenchmark.com/SpeedTest/816115/IntelR-CoreTM-i9-9900-CPU---310GHz
CPU,,AMD,Ryzen 7 4700G,87,90.9,1547,https://cpu.userbenchmark.com/SpeedTest/1135003/AMD-Ryzen-7-4700G-8-Core-Processor
CPU,BX80684I78086K,Intel,Core i7-8086K,88,90.8,38086,https://cpu.userbenchmark.com/SpeedTest/516988/IntelR-CoreTM-i7-8086K-CPU---400GHz
CPU,100-100000263BOX,AMD,Ryzen 7 5700G,89,90.8,13108,https://cpu.userbenchmark.com/SpeedTest/1552677/AMD-Ryzen-7-5700G-with-Radeon-Graphics
CPU,,Intel,Core i9-11900H,90,90.7,2510,https://cpu.userbenchmark.com/SpeedTest/1539880/11th-Gen-IntelR-CoreTM-i9-11900H---250GHz
CPU,BX80684I58600K,Intel,Core i5-8600K,91,90.7,264837,https://cpu.userbenchmark.com/Intel-Core-i5-8600K/Rating/3941
CPU,BX8070110600,Intel,Core i5-10600,92,90.2,7605,https://cpu.userbenchmark.com/Intel-Core-i5-10600/Rating/4069
CPU,,Intel,Core i3-10320,93,89.6,620,https://cpu.userbenchmark.com/SpeedTest/1180543/IntelR-CoreTM-i3-10320-CPU---380GHz
CPU,100-100000051WOF,AMD,Ryzen 9 3950X,94,89.3,50170,https://cpu.userbenchmark.com/AMD-Ryzen-9-3950X/Rating/4057
CPU,BX80684I39350KF,Intel,Core i3-9350KF,95,89.3,1442,https://cpu.userbenchmark.com/Intel-Core-i3-9350KF/Rating/4055
CPU,,Intel,Core i7-11850H,96,89.2,1586,https://cpu.userbenchmark.com/SpeedTest/1557007/11th-Gen-IntelR-CoreTM-i7-11850H---250GHz
CPU,100-100000277WOF,AMD,Ryzen 9 3900XT,97,88.7,16922,https://cpu.userbenchmark.com/SpeedTest/1202614/AMD-Ryzen-9-3900XT-12-Core-Processor
CPU,100-100000252BOX,AMD,Ryzen 5 5600G,98,88.7,34389,https://cpu.userbenchmark.com/SpeedTest/1553183/AMD-Ryzen-5-5600G-with-Radeon-Graphics
CPU,BX80684I78700K,Intel,Core i7-8700K,99,88.4,746287,https://cpu.userbenchmark.com/Intel-Core-i7-8700K/Rating/3937
CPU,BX80684I58600,Intel,Core i5-8600,100,88.2,18241,https://cpu.userbenchmark.com/SpeedTest/477251/IntelR-CoreTM-i5-8600-CPU---310GHz
CPU,100-100000279WOF,AMD,Ryzen 7 3800XT,101,88.1,13898,https://cpu.userbenchmark.com/SpeedTest/1218139/AMD-Ryzen-7-3800XT-8-Core-Processor
CPU,,Intel,Core i7-11800H,102,87.9,44858,https://cpu.userbenchmark.com/SpeedTest/1542191/11th-Gen-IntelR-CoreTM-i7-11800H---230GHz
CPU,100-100000023BOX,AMD,Ryzen 9 3900X,103,87.9,197342,https://cpu.userbenchmark.com/AMD-Ryzen-9-3900X/Rating/4044
CPU,BX8070110300,Intel,Core i3-10300,104,87.4,391,https://cpu.userbenchmark.com/Intel-Core-i3-10300/Rating/4074
CPU,100-100000010WOF,AMD,Ryzen TR 3960X,105,87.2,6609,https://cpu.userbenchmark.com/SpeedTest/969111/AMD-Ryzen-Threadripper-3960X-24-Core-Processor
CPU,BX8069510920X,Intel,Core i9-10920X,106,87.2,3007,https://cpu.userbenchmark.com/SpeedTest/931866/IntelR-CoreTM-i9-10920X-CPU---350GHz
CPU,100-100000025BOX,AMD,Ryzen 7 3800X,107,87,141122,https://cpu.userbenchmark.com/AMD-Ryzen-7-3800X/Rating/4047
CPU,BX80677I77740X,Intel,Core i7-7740X,108,87,5094,https://cpu.userbenchmark.com/SpeedTest/304932/IntelR-CoreTM-i7-7740X-CPU---430GHz
CPU,BX80684I78700,Intel,Core i7-8700,109,87,349567,https://cpu.userbenchmark.com/Intel-Core-i7-8700/Rating/3940
